service_id,date,exception_type
daily,20260401,2
daily,20260402,2
daily,20260403,2
daily,20260406,2
daily,20260407,2
daily,20260408,2
daily,20260409,2
daily,20260429,2
daily,20260430,2
daily,20260501,2
daily,20260502,2
daily,20260503,2
daily,20260504,2
daily,20260505,2
daily,20260506,2
daily,20260720,2
daily,20260811,2
daily,20260812,2
daily,20260813,2
daily,20260814,2
daily,20260817,2
daily,20260818,2
daily,20260819,2
daily,20260820,2
daily,20260821,2
daily,20260824,2
daily,20260825,2
daily,20260826,2
daily,20260827,2
daily,20260828,2
daily,20260831,2
daily,20260901,2
daily,20260902,2
daily,20260903,2
daily,20260904,2
daily,20260907,2
daily,20260908,2
daily,20260909,2
daily,20260910,2
daily,20260911,2
daily,20260914,2
daily,20260915,2
daily,20260916,2
daily,20260917,2
daily,20260918,2
daily,20260921,2
daily,20260922,2
daily,20260923,2
daily,20260924,2
daily,20260925,2
daily,20260928,2
daily,20260929,2
daily,20260930,2
daily,20261012,2
daily,20261102,2
daily,20261103,2
daily,20261104,2
daily,20261123,2
daily,20261228,2
daily,20261229,2
daily,20261230,2
daily,20261231,2
daily,20270101,2
daily,20270111,2
daily,20270115,2
daily,20270204,2
