trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
9992243_1++daily+9-1,7:15:00,7:15:00,9_0,1,,,,
9992243_1++daily+9-1,7:35:00,7:35:00,2_0,1,,,,
6990022_1++daily+1-1,7:35:00,7:35:00,2_0,1,,,,
6990022_1++daily+1-1,7:50:00,7:50:00,3_0,1,,,,
6990022_1++daily+1-1,7:55:00,7:55:00,4_0,1,,,,
6990031_2++daily+2-1,7:55:00,7:55:00,4_0,1,,,,
6990031_2++daily+2-1,8:00:00,8:00:00,5_0,1,,,,
6990031_2++daily+2-1,8:20:00,8:20:00,2_0,1,,,,
6990031_2++daily+2-1,8:40:00,8:40:00,1_0,1,,,,
6990023_2++daily+1-6,8:45:00,8:45:00,1_0,1,,,,
6990023_2++daily+1-6,9:10:00,9:10:00,3_0,1,,,,
6990023_2++daily+1-6,9:15:00,9:15:00,4_0,1,,,,
6990023_1++daily+2-5,9:20:00,9:20:00,4_0,1,,,,
6990023_1++daily+2-5,9:25:00,9:25:00,5_0,1,,,,
6990023_1++daily+2-5,9:50:00,9:50:00,1_0,1,,,,
6990021_1++daily+1-11,9:55:00,9:55:00,1_0,1,,,,
6990021_1++daily+1-11,10:15:00,10:15:00,2_0,1,,,,
6990027_2++daily+2-8,10:15:00,10:15:00,2_0,1,,,,
6990027_2++daily+2-8,10:35:00,10:35:00,1_0,1,,,,
6990023_2++daily+1-13,10:40:00,10:40:00,1_0,1,,,,
6990023_2++daily+1-13,11:05:00,11:05:00,3_0,1,,,,
6990023_2++daily+1-13,11:10:00,11:10:00,4_0,1,,,,
6990031_2++daily+2-10,11:15:00,11:15:00,4_0,1,,,,
6990031_2++daily+2-10,11:20:00,11:20:00,5_0,1,,,,
6990031_2++daily+2-10,11:40:00,11:40:00,2_0,1,,,,
6990031_2++daily+2-10,12:00:00,12:00:00,1_0,1,,,,
6990021_1++daily+1-18,12:15:00,12:15:00,1_0,1,,,,
6990021_1++daily+1-18,12:35:00,12:35:00,2_0,1,,,,
6990027_2++daily+2-14,12:35:00,12:35:00,2_0,1,,,,
6990027_2++daily+2-14,12:55:00,12:55:00,1_0,1,,,,
6990023_2++daily+1-21,12:55:00,12:55:00,1_0,1,,,,
6990023_2++daily+1-21,13:20:00,13:20:00,3_0,1,,,,
6990023_2++daily+1-21,13:25:00,13:25:00,4_0,1,,,,
9992252_2++daily+9-2,13:25:00,13:25:00,4_0,1,,,, 
9992252_2++daily+9-2,13:45:00,13:45:00,9_0,1,,,,
9992244_1++daily+9-3,14:55:00,14:55:00,9_0,1,,,,
9992244_1++daily+9-3,15:15:00,15:15:00,4_0,1,,,,
6990023_1++daily+2-22,15:15:00,15:15:00,4_0,1,,,,
6990023_1++daily+2-22,15:20:00,15:20:00,5_0,1,,,,
6990023_1++daily+2-22,15:45:00,15:45:00,1_0,1,,,,
6990024_1++daily+1-28,16:00:00,16:00:00,1_0,1,,,,
6990024_1++daily+1-28,16:20:00,16:20:00,2_0,1,,,,
6990024_1++daily+1-28,16:35:00,16:35:00,3_0,1,,,,
6990024_1++daily+1-28,16:40:00,16:40:00,4_0,1,,,,
6990023_1++daily+2-26,16:50:00,16:50:00,4_0,1,,,,
6990023_1++daily+2-26,16:55:00,16:55:00,5_0,1,,,,
6990023_1++daily+2-26,17:20:00,17:20:00,1_0,1,,,,
6990023_2++daily+1-33,17:25:00,17:25:00,1_0,1,,,,
6990023_2++daily+1-33,17:50:00,17:50:00,3_0,1,,,,
6990023_2++daily+1-33,17:55:00,17:55:00,4_0,1,,,,
6990023_1++daily+2-31,17:55:00,17:55:00,4_0,1,,,,
6990023_1++daily+2-31,18:00:00,18:00:00,5_0,1,,,,
6990023_1++daily+2-31,18:25:00,18:25:00,1_0,1,,,,
6990024_1++daily+1-37,18:30:00,18:30:00,1_0,1,,,,
6990024_1++daily+1-37,18:50:00,18:50:00,2_0,1,,,,
6990024_1++daily+1-37,19:05:00,19:05:00,3_0,1,,,,
6990024_1++daily+1-37,19:10:00,19:10:00,4_0,1,,,,
6990031_2++daily+2-36,19:10:00,19:10:00,4_0,1,,,,
6990031_2++daily+2-36,19:15:00,19:15:00,5_0,1,,,,
6990031_2++daily+2-36,19:35:00,19:35:00,2_0,1,,,,
6990031_2++daily+2-36,19:55:00,19:55:00,1_0,1,,,,
6990024_1++daily+1-40,20:10:00,20:10:00,1_0,1,,,,
6990024_1++daily+1-40,20:30:00,20:30:00,2_0,1,,,,
6990024_1++daily+1-40,20:45:00,20:45:00,3_0,1,,,,
6990024_1++daily+1-40,20:50:00,20:50:00,4_0,1,,,,
9992252_2++daily+9-4,20:50:00,20:50:00,4_0,1,,,,
9992252_2++daily+9-4,21:10:00,21:10:00,9_0,1,,,,
9992245_1++daily+9-5,7:50:00,7:50:00,9_0,1,,,,
9992245_1++daily+9-5,8:10:00,8:10:00,1_0,1,,,,
6990023_2++daily+1-4,8:10:00,8:10:00,1_0,1,,,,
6990023_2++daily+1-4,8:35:00,8:35:00,3_0,1,,,,
6990023_2++daily+1-4,8:40:00,8:40:00,4_0,1,,,,
6990031_2++daily+2-4,8:55:00,8:55:00,4_0,1,,,,
6990031_2++daily+2-4,9:00:00,9:00:00,5_0,1,,,,
6990031_2++daily+2-4,9:20:00,9:20:00,2_0,1,,,,
6990031_2++daily+2-4,9:40:00,9:40:00,1_0,1,,,,
6990023_2++daily+1-9,9:45:00,9:45:00,1_0,1,,,,
6990023_2++daily+1-9,10:10:00,10:10:00,3_0,1,,,,
6990023_2++daily+1-9,10:15:00,10:15:00,4_0,1,,,,
9992252_2++daily+9-6,10:15:00,10:15:00,4_0,1,,,,
9992252_2++daily+9-6,10:35:00,10:35:00,9_0,1,,,,
9992245_1++daily+9-7,11:50:00,11:50:00,9_0,1,,,,
9992245_1++daily+9-7,12:10:00,12:10:00,1_0,1,,,,
6990023_2++daily+1-17,12:10:00,12:10:00,1_0,1,,,,
6990023_2++daily+1-17,12:35:00,12:35:00,3_0,1,,,,
6990023_2++daily+1-17,12:40:00,12:40:00,4_0,1,,,,
6990031_2++daily+2-16,12:40:00,12:40:00,4_0,1,,,,
6990031_2++daily+2-16,12:45:00,12:45:00,5_0,1,,,,
6990031_2++daily+2-16,13:05:00,13:05:00,2_0,1,,,,
6990031_2++daily+2-16,13:25:00,13:25:00,1_0,1,,,,
6990024_1++daily+1-23,13:35:00,13:35:00,1_0,1,,,,
6990024_1++daily+1-23,13:55:00,13:55:00,2_0,1,,,,
6990024_1++daily+1-23,14:10:00,14:10:00,3_0,1,,,,
6990024_1++daily+1-23,14:15:00,14:15:00,4_0,1,,,,
6990031_2++daily+2-18,14:15:00,14:15:00,4_0,1,,,,
6990031_2++daily+2-18,14:20:00,14:20:00,5_0,1,,,,
6990031_2++daily+2-18,14:40:00,14:40:00,2_0,1,,,,
6990031_2++daily+2-18,15:00:00,15:00:00,1_0,1,,,,
6990024_1++daily+1-25,15:10:00,15:10:00,1_0,1,,,,
6990024_1++daily+1-25,15:30:00,15:30:00,2_0,1,,,,
6990024_1++daily+1-25,15:45:00,15:45:00,3_0,1,,,,
6990024_1++daily+1-25,15:50:00,15:50:00,4_0,1,,,,
6990023_1++daily+2-23,16:00:00,16:00:00,4_0,1,,,,
6990023_1++daily+2-23,16:05:00,16:05:00,5_0,1,,,,
6990023_1++daily+2-23,16:30:00,16:30:00,1_0,1,,,,
6990021_1++daily+1-30,16:40:00,16:40:00,1_0,1,,,,
6990021_1++daily+1-30,17:00:00,17:00:00,2_0,1,,,,
6990027_2++daily+2-28,17:00:00,17:00:00,2_0,1,,,,
6990027_2++daily+2-28,17:20:00,17:20:00,1_0,1,,,,
6990024_1++daily+1-34,17:40:00,17:40:00,1_0,1,,,,
6990024_1++daily+1-34,18:00:00,18:00:00,2_0,1,,,,
6990024_1++daily+1-34,18:15:00,18:15:00,3_0,1,,,,
6990024_1++daily+1-34,18:20:00,18:20:00,4_0,1,,,,
6990023_1++daily+2-34,18:30:00,18:30:00,4_0,1,,,,
6990023_1++daily+2-34,18:35:00,18:35:00,5_0,1,,,,
6990023_1++daily+2-34,19:00:00,19:00:00,1_0,1,,,,
9992253_2++daily+9-8,19:00:00,19:00:00,1_0,1,,,,
9992253_2++daily+9-8,19:20:00,19:20:00,9_0,1,,,,
9992244_1++daily+9-9,20:00:00,20:00:00,9_0,1,,,,
9992244_1++daily+9-9,20:20:00,20:20:00,4_0,1,,,,
6990023_1++daily+2-39,20:20:00,20:20:00,4_0,1,,,,
6990023_1++daily+2-39,20:25:00,20:25:00,5_0,1,,,,
6990023_1++daily+2-39,20:50:00,20:50:00,1_0,1,,,,
9992253_2++daily+9-10,20:50:00,20:50:00,1_0,1,,,,
9992253_2++daily+9-10,21:10:00,21:10:00,9_0,1,,,,
9992245_1++daily+9-11,7:40:00,7:40:00,9_0,1,,,,
9992245_1++daily+9-11,8:00:00,8:00:00,1_0,1,,,,
6990023_2++daily+1-2,8:00:00,8:00:00,1_0,1,,,,
6990023_2++daily+1-2,8:25:00,8:25:00,3_0,1,,,,
6990023_2++daily+1-2,8:30:00,8:30:00,4_0,1,,,,
6990031_2++daily+2-2,8:30:00,8:30:00,4_0,1,,,,
6990031_2++daily+2-2,8:35:00,8:35:00,5_0,1,,,,
6990031_2++daily+2-2,8:55:00,8:55:00,2_0,1,,,,
6990031_2++daily+2-2,9:15:00,9:15:00,1_0,1,,,,
6990024_1++daily+1-8,9:20:00,9:20:00,1_0,1,,,,
6990024_1++daily+1-8,9:40:00,9:40:00,2_0,1,,,,
6990024_1++daily+1-8,9:55:00,9:55:00,3_0,1,,,,
