route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9992243_1,daily,9992243_1++daily+9-1,箕面学舎,,301,
6990022_1,daily,6990022_1++daily+1-1,吹田学舎,,301,
6990031_2,daily,6990031_2++daily+2-1,豊中学舎,,301,
6990023_2,daily,6990023_2++daily+1-6,吹田学舎,,301,
6990023_1,daily,6990023_1++daily+2-5,豊中学舎,,301,
6990021_1,daily,6990021_1++daily+1-11,箕面学舎,,301,
6990027_2,daily,6990027_2++daily+2-8,豊中学舎,,301,
6990023_2,daily,6990023_2++daily+1-13,吹田学舎,,301,
6990031_2,daily,6990031_2++daily+2-10,豊中学舎,,301,
6990021_1,daily,6990021_1++daily+1-18,箕面学舎,,301,
6990027_2,daily,6990027_2++daily+2-14,豊中学舎,,301,
6990023_2,daily,6990023_2++daily+1-21,吹田学舎,,301,
9992252_2,daily,9992252_2++daily+9-2,千里営,,301,
9992244_1,daily,9992244_1++daily+9-3,吹田学舎,,301,
6990023_1,daily,6990023_1++daily+2-22,豊中学舎,,301,
6990024_1,daily,6990024_1++daily+1-28,吹田学舎,,301,
6990023_1,daily,6990023_1++daily+2-26,豊中学舎,,301,
6990023_2,daily,6990023_2++daily+1-33,吹田学舎,,301,
6990023_1,daily,6990023_1++daily+2-31,豊中学舎,,301,
6990024_1,daily,6990024_1++daily+1-37,吹田学舎,,301,
6990031_2,daily,6990031_2++daily+2-36,豊中学舎,,301,
6990024_1,daily,6990024_1++daily+1-40,吹田学舎,,301,
9992252_2,daily,9992252_2++daily+9-4,千里営,,301,
9992245_1,daily,9992245_1++daily+9-5,豊中学舎,,302,
6990023_2,daily,6990023_2++daily+1-4,吹田学舎,,302,
6990031_2,daily,6990031_2++daily+2-4,豊中学舎,,302,
6990023_2,daily,6990023_2++daily+1-9,吹田学舎,,302,
9992252_2,daily,9992252_2++daily+9-6,千里営,,302,
9992245_1,daily,9992245_1++daily+9-7,豊中学舎,,302,
6990023_2,daily,6990023_2++daily+1-17,吹田学舎,,302,
6990031_2,daily,6990031_2++daily+2-16,豊中学舎,,302,
6990024_1,daily,6990024_1++daily+1-23,吹田学舎,,302,
6990031_2,daily,6990031_2++daily+2-18,豊中学舎,,302,
6990024_1,daily,6990024_1++daily+1-25,吹田学舎,,302,
6990023_1,daily,6990023_1++daily+2-23,豊中学舎,,302,
6990021_1,daily,6990021_1++daily+1-30,箕面学舎,,302,
6990027_2,daily,6990027_2++daily+2-28,豊中学舎,,302,
6990024_1,daily,6990024_1++daily+1-34,吹田学舎,,302,
6990023_1,daily,6990023_1++daily+2-34,豊中学舎,,302,
9992253_2,daily,9992253_2++daily+9-8,千里営,,302,
9992244_1,daily,9992244_1++daily+9-9,吹田学舎,,302,
6990023_1,daily,6990023_1++daily+2-39,豊中学舎,,302,
9992253_2,daily,9992253_2++daily+9-10,千里営,,302,
9992245_1,daily,9992245_1++daily+9-11,豊中学舎,,303,
6990023_2,daily,6990023_2++daily+1-2,吹田学舎,,303,
6990031_2,daily,6990031_2++daily+2-2,豊中学舎,,303,
6990024_1,daily,6990024_1++daily+1-8,吹田学舎,,303,
6990031_2,daily,6990031_2++daily+2-7,豊中学舎,,303,
6990023_2,daily,6990023_2++daily+1-14,吹田学舎,,303,
6990023_1,daily,6990023_1++daily+2-11,豊中学舎,,303,
6990023_2,daily,6990023_2++daily+1-16,吹田学舎,,303,
6990023_1,daily,6990023_1++daily+2-15,豊中学舎,,303,
6990021_1,daily,6990021_1++daily+1-22,箕面学舎,,303,
9992251_1,daily,9992251_1++daily+9-12,千里営,,303,
9992243_1,daily,9992243_1++daily+9-13,箕面学舎,,303,
6990027_2,daily,6990027_2++daily+2-21,豊中学舎,,303,
6990021_1,daily,6990021_1++daily+1-27,箕面学舎,,303,
6990027_2,daily,6990027_2++daily+2-24,豊中学舎,,303,
6990023_2,daily,6990023_2++daily+1-29,吹田学舎,,303,
6990023_1,daily,6990023_1++daily+2-29,豊中学舎,,303,
6990023_2,daily,6990023_2++daily+1-35,吹田学舎,,303,
6990023_1,daily,6990023_1++daily+2-35,豊中学舎,,303,
6990024_1,daily,6990024_1++daily+1-39,吹田学舎,,303,
6990031_2,daily,6990031_2++daily+2-38,豊中学舎,,303,
9992253_2,daily,9992253_2++daily+9-14,千里営,,303,
9992245_1,daily,9992245_1++daily+9-15,豊中学舎,,304,
6990021_1,daily,6990021_1++daily+1-5,箕面学舎,,304,
6990027_2,daily,6990027_2++daily+2-5,豊中学舎,,304,
6990023_2,daily,6990023_2++daily+1-7,吹田学舎,,304,
6990023_1,daily,6990023_1++daily+2-6,豊中学舎,,304,
6990021_1,daily,6990021_1++daily+1-12,箕面学舎,,304,
9992251_1,daily,9992251_1++daily+9-16,千里営,,304,
9992244_1,daily,9992244_1++daily+9-17,吹田学舎,,304,
6990023_1,daily,6990023_1++daily+2-12,豊中学舎,,304,
6990024_1,daily,6990024_1++daily+1-19,吹田学舎,,304,
6990031_2,daily,6990031_2++daily+2-17,豊中学舎,,304,
6990024_1,daily,6990024_1++daily+1-24,吹田学舎,,304,
6990023_1,daily,6990023_1++daily+2-20,豊中学舎,,304,
9992253_2,daily,9992253_2++daily+9-18,千里営,,304,
9992243_1,daily,9992243_1++daily+9-19,箕面学舎,,304,
6990027_2,daily,6990027_2++daily+2-27,豊中学舎,,304,
6990024_1,daily,6990024_1++daily+1-32,吹田学舎,,304,
6990031_2,daily,6990031_2++daily+2-32,豊中学舎,,304,
9992253_2,daily,9992253_2++daily+9-20,千里営,,304,
9992245_1,daily,9992245_1++daily+9-21,豊中学舎,,305,
6990023_2,daily,6990023_2++daily+1-3,吹田学舎,,305,
9992252_2,daily,9992252_2++daily+9-22,千里営,,305,
9992245_1,daily,9992245_1++daily+9-23,豊中学舎,,305,
6990023_2,daily,6990023_2++daily+1-10,吹田学舎,,305,
6990031_2,daily,6990031_2++daily+2-9,豊中学舎,,305,
6990024_1,daily,6990024_1++daily+1-15,吹田学舎,,305,
6990023_1,daily,6990023_1++daily+2-13,豊中学舎,,305,
